,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252
2949,,2022-02-24,L2205,12719.31020448857,12777.13182151091,12911.56708108784,12719.31020448857,0,504225,12719.31020448857,12788.69614491538,12681.72615342405,335186,13569.28797471692,11794.16433213118,8828,5,0.004545971133083436,0.006715715283551376,0.01890879779789978,0.01610656963596666,0.015436461804627355,0.016310223734427347,0.015099697721857342
2950,,2022-02-25,L2205,12917.34924279008,12730.87452789304,13056.12112364368,12649.92426406177,0,615251,12777.13182151091,12849.40884278883,12788.69614491538,314961,13683.48566833604,11893.90662149471,8840,5,-0.003620319040615444,0.007277442727807292,0.01891640297308776,0.016118444767899892,0.015388131351165929,0.01631476418024314,0.015098006859841834
2951,,2022-02-28,L2205,12749.6665534253,12771.34965980867,12832.06235768213,12597.88480874166,0,475602,12730.87452789304,12717.86466406301,12849.40884278883,310916,13748.53498748617,11950.28269809149,8795,5,0.0031792892017708093,0.006399477972661902,0.018836777565254925,0.016069637268827947,0.015205273565506775,0.016305921169908935,0.015098140043338181
2952,,2022-03-01,L2205,12720.75574491413,12941.92343002457,12950.59667257792,12612.34021299725,0,473593,12771.34965980867,12758.33979597865,12717.86466406301,313431,13606.87202578144,11828.85730234458,8758,5,0.01335597057159077,0.007201450329198109,0.01907731512543611,0.015623322836761799,0.015294369027772097,0.016339138276571727,0.015116341749610554
2953,,2022-03-02,L2205,13067.68544704815,13189.11084279506,13365.46677471319,12980.95302151465,0,610522,12941.92343002457,13151.52679173054,12758.33979597865,320086,13650.2382385482,11866.4413534091,9100,5,0.019099743102870544,0.008940445759076465,0.019058759949335737,0.015732362673890388,0.015469159217258674,0.016229526661039977,0.015156708254942402
2954,,2022-03-03,L2205,13190.55638322062,13470.99122577895,13479.6644683323,13157.30895343277,0,511463,13189.11084279506,13293.18975343527,13151.52679173054,333050,14070.8905023857,12232.16308107538,9168,5,0.021372205173169376,0.010643494452551201,0.01960403958533058,0.01596951951624063,0.015317984763516524,0.01632433177854351,0.014382032487023102
2955,,2022-03-04,L2205,13443.52595769334,13200.67516619953,13494.11987258789,13119.72490236825,0,520318,13470.99122577895,13278.73434917968,13293.18975343527,314956,14222.67224706933,12363.7072598012,9210,5,-0.020066530743641616,0.016880492427808907,0.019767735604863942,0.016347616008181246,0.015518281986455388,0.01643089541918743,0.014360035983161476
2956,,2022-03-07,L2205,13212.239489604,13618.43634918591,13758.65377046508,13194.89300449729,0,568796,13200.67516619953,13537.48608535464,13278.73434917968,317113,14208.21684281375,12349.25185554562,9340,5,0.03164695575996461,0.019675482624465227,0.015445818287665586,0.01693092529921858,0.0157528110913416,0.01662862058451783,0.014426229500346853
2957,,2022-03-08,L2205,13547.60486833355,13586.63445982363,13602.53540450477,13229.5859747107,0,571396,13618.43634918591,13439.18933641667,13537.48608535464,305352,14484.31506409541,12590.65710661387,9270,5,-0.0023352085765837864,0.020837830448125726,0.015179293885481435,0.016549079512834963,0.015740592353216336,0.01662441828572883,0.014384306889050034
2958,,2022-03-09,L2205,13638.67391514373,14011.6233449378,14290.61264707058,13533.14946407796,0,750558,13586.63445982363,13982.71253642663,13439.18933641667,317730,14378.79061302964,12499.58805980369,9680,5,0.03127992339610544,0.022795817389666666,0.014632631220389375,0.016899963960680095,0.016005440537471452,0.016748971541150265,0.014493789104231334
2959,,2022-03-10,L2205,13848.2772768497,13536.04054492908,13859.84160025417,13277.28880875412,0,647374,14011.6233449378,13551.94148961022,13982.71253642663,287585,14961.34340452969,13004.08166832358,9373,5,-0.033942020014443346,0.02971310948497875,0.016874500498251115,0.017831198124491292,0.016496442433661763,0.017046928253334908,0.014612555235911352
2960,,2022-03-11,L2205,13592.41662152586,13417.50623003329,13783.22795769957,13358.23907258539,0,548170,13536.04054492908,13553.38703003578,13551.94148961022,278067,14500.21600877655,12603.6669704439,9364,5,-0.00875694147800073,0.0280630163856758,0.01675886674982101,0.01788143811192833,0.016498751986362078,0.017056284501815434,0.014623603218193603
