date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,sigma20,sigma40,sigma252,sigma126,sigma63,sigma5
2014-07-08,B1409,5499.436238464989,5499.436238464989,5499.436238464989,5499.436238464989,0,2,5433.017926406234,5499.436238464989,5433.017926406234,478,5649.541623717778,5216.494229094689,4140,10,0.01222493887530545,0.002797810958007162,0.004989947870831259,0.008173455072293438,0.005571070091988698,0.004896237765319605,0.001264134591252075
2014-07-09,B1409,5313.464964700473,5280.255808671095,5313.464964700473,5280.255808671095,0,30,5499.436238464989,5281.58417491227,5499.436238464989,504,5718.616668258884,5280.255808671095,4000,10,-0.03985507246376808,0.003869237005254673,0.005315963963551506,0.008205496522228066,0.005501620383946263,0.005107688268464155,0.006864704658454147
2014-07-10,B1409,5280.255808671095,5280.255808671095,5280.255808671095,5280.255808671095,0,0,5280.255808671095,5280.255808671095,5281.58417491227,504,5492.794407259114,5070.373942565427,3975,10,0.0,0.009500675071224294,0.008280986047843542,0.00859447057349742,0.006582726708764408,0.007229120475296323,0.01932825048870798
2014-07-11,B1409,5280.255808671095,5280.255808671095,5280.255808671095,5280.255808671095,0,2,5280.255808671095,5280.255808671095,5280.255808671095,506,5491.466041017939,5069.045576324252,3975,10,0.0,0.00939220300907289,0.008266549534097202,0.008591380601096056,0.006577604077048976,0.007209884596967199,0.01951575724206341
2014-07-14,B1409,5273.613977465219,5273.613977465219,5273.613977465219,5273.613977465219,0,2,5280.255808671095,5273.613977465219,5280.255808671095,508,5491.466041017939,5069.045576324252,3970,10,-0.001257861635220177,0.009412438293306255,0.007871588499479557,0.008590905989287157,0.006574799666573368,0.00720973341143043,0.01976735894893199
2014-07-15,B1409,5247.046652641717,5247.046652641717,5247.046652641717,5247.046652641717,0,0,5273.613977465219,5247.046652641717,5273.613977465219,508,5483.495843570889,5063.732111359551,3970,10,-0.005037783375314893,0.009343848364942757,0.007092876176263516,0.008591532321466902,0.006576958137362665,0.007207814210519289,0.0198277261296008
2014-07-16,B1409,5280.255808671095,5280.255808671095,5280.255808671095,5280.255808671095,0,2,5247.046652641717,5280.255808671095,5247.046652641717,510,5456.928518747386,5037.164786536048,3975,10,0.006329113924050716,0.009346631231742463,0.0071107637161279,0.00859880878024081,0.006543518214870601,0.007237392546560252,0.01724391583750321
2014-07-17,B1409,5273.613977465219,5273.613977465219,5273.613977465219,5114.210028524205,0,34,5280.255808671095,5176.643241859436,5280.255808671095,534,5491.466041017939,5069.045576324252,3970,10,-0.001257861635220177,0.00957048804756869,0.007185447147872378,0.008604349225476746,0.006554860218679792,0.00728022501696557,0.004093254703165347
2014-07-18,B1409,5167.34467817121,5180.628340582961,5180.628340582961,5167.34467817121,0,20,5273.613977465219,5173.986509377086,5176.643241859436,554,5382.540009241579,4970.746474477292,3890,10,-0.01763224181360204,0.009576037812714672,0.007185708201432742,0.008600605613437017,0.006549445297140149,0.007239054794210015,0.004132237550030899
2014-07-21,B1409,5173.986509377086,5173.986509377086,5173.986509377086,5173.986509377086,0,0,5180.628340582961,5173.986509377086,5173.986509377086,554,5379.883276759229,4968.089741994942,3900,10,-0.001282051282051158,0.01013083430402929,0.007617008689497732,0.008673280760160171,0.006744063579224312,0.007558345834005308,0.008780415627415463
2014-07-22,B1409,5219.150961577039,5173.986509377086,5219.150961577039,5173.986509377086,0,8,5173.986509377086,5196.568735477063,5173.986509377086,558,5379.883276759229,4968.089741994942,3929,10,0.0,0.01013869881167204,0.007605309963560534,0.008673183129729265,0.006736571641900613,0.007454626212758245,0.008778691001472858
2014-07-23,B1409,5102.254732353629,5047.791716465449,5114.210028524205,5047.791716465449,0,26,5173.986509377086,5098.269633630104,5196.568735477063,584,5403.793869100381,4989.343601853744,3841,10,-0.02439024390243913,0.01013869881167204,0.007605309963560534,0.008673183129729265,0.006734945581320016,0.007449934675065952,0.008886134565493729
2014-07-24,B1409,4994.657066818445,5047.791716465449,5100.926366112454,4994.657066818445,0,8,5047.791716465449,5047.791716465449,5098.269633630104,588,5301.509668529897,4895.029598730311,3760,10,0.0,0.01115233233339809,0.008385593767842398,0.008813536301130633,0.007076858745672748,0.008001290008380532,0.01131198861812244
2014-07-25,B1409,5047.791716465449,5047.791716465449,5047.791716465449,5047.791716465449,0,10,5047.791716465449,5047.791716465449,5047.791716465449,598,5249.703385124068,4845.880047806831,3800,10,0.0,0.01119812942208713,0.00832305560310546,0.008813478135926846,0.007075621800727448,0.0079883478131332,0.01153653998779302
2014-07-28,B1409,5114.210028524205,5114.210028524205,5114.210028524205,5114.210028524205,0,0,5047.791716465449,5114.210028524205,5047.791716465449,598,5249.703385124068,4845.880047806831,3800,10,0.0131578947368421,0.01120734656431526,0.00831379543945516,0.008803334561422337,0.007055741853908127,0.007986597256266137,0.01077861662160736
2014-07-29,B1409,5179.299974341786,5120.851859730081,5179.299974341786,5120.851859730081,0,4,5114.210028524205,5150.075917035933,5114.210028524205,598,5318.778429665173,4909.641627383237,3899,10,0.001298701298701351,0.01184851366286936,0.00868206729616824,0.008839518337384973,0.007149016406048538,0.008177254043195172,0.01362700497147771
2014-07-30,B1409,5114.210028524205,5120.851859730081,5123.508592212431,5100.926366112454,0,14,5120.851859730081,5115.53839476538,5150.075917035933,610,5355.972684418077,4944.17914965379,3850,10,0.0,0.01189284940663131,0.008695128987687786,0.008839012703433497,0.007148808555503845,0.008027856961268521,0.01369274757491026
2014-07-31,B1409,5094.284534906578,5154.061015759459,5154.061015759459,5087.642703700703,0,52,5120.851859730081,5103.583098594804,5115.53839476538,650,5320.106795906348,4910.969993624412,3835,10,0.006485084306096065,0.01191381434178941,0.008700275434170068,0.00883894523141244,0.007148808555503845,0.00802682152789952,0.005766675497678284
2014-08-01,B1409,5103.583098594804,5112.88166228303,5112.88166228303,5061.075378877201,0,46,5154.061015759459,5081.000872494827,5103.583098594804,688,5306.823133494598,4900.343063695012,3842,10,-0.007989690721649595,0.01211591437195418,0.008799047300339584,0.008747161631042923,0.007163673800978321,0.007918335435752837,0.005682480583335982
2014-08-04,B1409,5154.061015759459,5154.061015759459,5154.061015759459,5154.061015759459,0,4,5112.88166228303,5154.061015759459,5081.000872494827,684,5284.24090739462,4877.760837595034,3880,10,0.008054040010392423,0.01216237939212657,0.008781025858203968,0.008763844841064364,0.007199509735030541,0.007969708176636224,0.007860621607586007
2014-08-05,B1409,5154.061015759459,5127.493690935957,5154.061015759459,5047.791716465449,0,126,5154.061015759459,5083.657604977177,5154.061015759459,752,5359.957783141602,4948.164248377316,3880,10,-0.005154639175257764,0.01241528159650131,0.00890093452787727,0.008733046934158883,0.007232777443905978,0.008046285013717075,0.006327065227568023
2014-08-06,B1409,5061.075378877201,5081.000872494827,5081.000872494827,5047.791716465449,0,66,5127.493690935957,5059.747012636026,5083.657604977177,808,5286.897639876971,4880.417570077385,3810,10,-0.009067357512953558,0.01192468028704521,0.008877248655764712,0.008740412257391826,0.007221766881839909,0.008064885618769226,0.007016770117125059
2014-08-07,B1409,5047.791716465449,5047.791716465449,5049.120082706624,5047.791716465449,0,16,5081.000872494827,5047.791716465449,5059.747012636026,822,5261.658681294643,4857.835343977407,3800,10,-0.006535947712418208,0.008457803161548618,0.008887413473712092,0.008706978794224243,0.006675452318421489,0.00813072839445726,0.008181880425431779
2014-08-08,B1409,5106.239831077155,5106.239831077155,5106.239831077155,5106.239831077155,0,2,5047.791716465449,5106.239831077155,5047.791716465449,822,5249.703385124068,4845.880047806831,3844,10,0.0115789473684212,0.008507170556808958,0.00885150017017151,0.008586976387998999,0.006683468766036335,0.008133609976712973,0.006974303412885797
2014-08-11,B1409,5021.224391641947,5019.896025400772,5033.179687812523,4998.64216554197,0,20,5106.239831077155,5018.567659159597,5106.239831077155,834,5309.479865976948,4902.999796177362,3780,10,-0.01690946930280972,0.009042903715652544,0.009126554978675332,0.008607192708597677,0.006748005913344356,0.008283610049754262,0.009356713723094375
2014-08-12,B1409,5074.359041288952,4981.373404406693,5112.88166228303,4981.373404406693,0,12,5019.896025400772,5030.522955330172,5018.567659159597,836,5219.150961577039,4817.984356742154,3820,10,-0.007673987827467569,0.009664431840810148,0.009385858658095707,0.008654512685025014,0.006754869879524785,0.00851350850965114,0.01043295798078073
2014-08-13,B1409,5074.359041288952,5074.359041288952,5074.359041288952,5074.359041288952,0,2,4981.373404406693,5074.359041288952,5030.522955330172,836,5231.106257747616,4829.93965291273,3820,10,0.01866666666666669,0.009719865685641278,0.009415878466647556,0.008667086658925445,0.006787266868804878,0.008539042680248252,0.01048983356085722
2014-08-14,B1409,5114.210028524205,4993.32870057727,5114.210028524205,4968.089741994942,0,22,5074.359041288952,5039.821519018398,5074.359041288952,830,5276.27070994757,4872.447372630334,3850,10,-0.01596858638743445,0.01065913202178207,0.01000685647058066,0.00873779656222565,0.006975022928033368,0.008667068856489886,0.01474705579351583
2014-08-15,B1409,4968.089741994942,4968.089741994942,4968.089741994942,4968.089741994942,0,0,4993.32870057727,4968.089741994942,5039.821519018398,830,5240.404821435842,4839.238216600956,3759,10,-0.005054535780792823,0.01110821875518394,0.01023665018734698,0.008799521780518117,0.007108277083075829,0.008423784743643654,0.01628717257046784
2014-08-18,B1409,5021.224391641947,4941.52241717144,5021.224391641947,4941.52241717144,0,4,4968.089741994942,4981.373404406693,4968.089741994942,832,5166.016311930035,4770.16317205985,3780,10,-0.005347593582887734,0.01055890410936568,0.01023967894332181,0.008804024534337209,0.007111143642760174,0.008431295810171173,0.0143932014365576
2014-08-19,B1409,4782.118468230426,4782.118468230426,4782.118468230426,4782.118468230426,0,432,4941.52241717144,4782.118468230426,4981.373404406693,794,5180.628340582961,4782.118468230426,3600,10,-0.03225806451612905,0.0105826669314127,0.01024726649038881,0.00881157108088536,0.007124300076277587,0.00841727356023674,0.01293424302063842
2014-08-20,B1409,4649.281844112914,4782.118468230426,4782.118468230426,4649.281844112914,0,10,4782.118468230426,4702.416493759919,4782.118468230426,788,4973.403206959642,4590.833729501209,3500,10,0.0,0.01250628853253494,0.01123928818123881,0.008994342669307303,0.007666150252659981,0.00923578663334115,0.0185659224547699
2014-08-21,B1409,4782.118468230426,4782.118468230426,4782.118468230426,4780.790101989251,0,12,4782.118468230426,4780.790101989251,4702.416493759919,778,4889.716133765611,4515.116853754227,3600,10,0.0,0.01155121275680257,0.01124994379117596,0.008994369703861225,0.007665343428839171,0.009241346762219653,0.01286717520963522
2014-08-22,B1409,4780.790101989251,4780.790101989251,4780.790101989251,4780.790101989251,0,0,4782.118468230426,4780.790101989251,4780.790101989251,778,4970.746474477292,4590.833729501209,3600,10,-0.000277777777777751,0.01155121275680257,0.01126169613494926,0.008991020559961945,0.007663647719760554,0.009237784635915219,0.01351618832216776
2014-08-25,B1409,4780.790101989251,4780.790101989251,4780.790101989251,4780.790101989251,0,0,4780.790101989251,4780.790101989251,4780.790101989251,778,4970.746474477292,4590.833729501209,3599,10,0.0,0.01154804313688907,0.01126313639788236,0.008990313863679805,0.007663706327318554,0.00923662430375074,0.01398414907298686
2014-08-26,B1409,4715.70015617167,4715.70015617167,4715.70015617167,4715.70015617167,0,774,4780.790101989251,4715.70015617167,4780.790101989251,778,4970.746474477292,4590.833729501209,3550,10,-0.01361489302584053,0.01095990301368304,0.01126667905267636,0.008989920473780276,0.00766145385180199,0.009242036073898827,0.01439569102254022
2014-08-27,B1409,4715.70015617167,4715.70015617167,4715.70015617167,4715.70015617167,0,2,4715.70015617167,4715.70015617167,4715.70015617167,776,4904.328162418537,4527.072149924803,3550,10,0.0,0.01113592626906268,0.01137581566039216,0.009032943652060314,0.007748040399718205,0.009305636994709555,0.006058902792324923
2014-08-28,B1409,4527.072149924803,4629.356350495287,4634.669815459987,4527.072149924803,0,42,4715.70015617167,4606.774124395311,4715.70015617167,764,4904.328162418537,4527.072149924803,3408,10,-0.01830985915492955,0.01113592626906268,0.01138787838679668,0.008983986818458826,0.007748325395310287,0.009300318993885427,0.006058902792324923
2014-08-29,B1409,4699.759761277568,4543.012544818905,4779.461735748076,4543.012544818905,0,392,4629.356350495287,4771.491538301025,4606.774124395311,760,4790.088665677476,4423.459583113144,3538,10,-0.01865136298421805,0.01128020208433619,0.01161650427818204,0.00886951933216772,0.007904453661990128,0.009500009543758969,0.008850039939543149
2014-09-01,B1409,4527.072149924803,4527.072149924803,4527.072149924803,4527.072149924803,0,4,4543.012544818905,4527.072149924803,4771.491538301025,760,5057.090280153675,4485.892796448375,3408,10,-0.003508771929824623,0.01165988049481711,0.01184184257181307,0.008799267328439168,0.008060830977258281,0.009692979057877256,0.009445910629884672
2014-09-02,B1409,4715.70015617167,4715.70015617167,4715.70015617167,4715.70015617167,0,2,4527.072149924803,4715.70015617167,4527.072149924803,760,4798.058863124527,4256.085436725079,3550,10,0.04166666666666666,0.01121354313363694,0.0118383821032817,0.00873514588575111,0.008061817511984676,0.009688072085020033,0.008598925421110739
2014-09-03,B1409,4715.70015617167,4715.70015617167,4715.70015617167,4715.70015617167,0,0,4715.70015617167,4715.70015617167,4715.70015617167,760,4998.64216554197,4432.75814680137,3550,10,0.0,0.01554074045516902,0.01367628782276571,0.009123124756892463,0.008913599595997274,0.01122094882466714,0.02465390673883067
2014-09-04,B1409,4714.371789930495,4714.371789930495,4714.371789930495,4714.371789930495,0,0,4715.70015617167,4714.371789930495,4715.70015617167,760,4998.64216554197,4432.75814680137,3550,10,-0.0002816901408450433,0.01551931998698216,0.01236720975215999,0.009065585095269037,0.008907387629520999,0.0111976135523833,0.02465390673883067
2014-09-05,B1409,4782.118468230426,4782.118468230426,4782.118468230426,4782.118468230426,0,0,4714.371789930495,4782.118468230426,4714.371789930495,760,4995.98543305962,4432.75814680137,3549,10,0.01437024513947587,0.01552026919041176,0.01236568460180673,0.009035203229645116,0.00890518323385827,0.01118351322586943,0.02248586431000347
2014-09-09,B1409,4517.773586236577,4516.445219995402,4517.773586236577,4516.445219995402,0,380,4782.118468230426,4516.445219995402,4782.118468230426,382,5069.045576324252,4495.1913601366,3401,10,-0.05555555555555552,0.01567288260892282,0.01265320020701509,0.009080511652785759,0.009006207229888862,0.01137096943305444,0.01876877449567806
2014-09-10,B1409,4516.445219995402,4516.445219995402,4516.445219995402,4516.445219995402,0,0,4516.445219995402,4516.445219995402,4516.445219995402,382,4787.431933195126,4245.458506795678,3400,10,0.0,0.019397365062055,0.01518681281924589,0.009720310279035891,0.01024988096229477,0.01316865281360075,0.03545809563974966
2014-09-11,B1409,4516.445219995402,4516.445219995402,4516.445219995402,4516.445219995402,0,0,4516.445219995402,4516.445219995402,4516.445219995402,382,4787.431933195126,4245.458506795678,3400,10,0.0,0.01941944707272676,0.01519677777304737,0.00963903822940438,0.01024770611227952,0.01314228152873815,0.02715281118389448
2014-09-12,B1409,4715.70015617167,4715.70015617167,4715.70015617167,4715.70015617167,0,0,4516.445219995402,4715.70015617167,4516.445219995402,382,4787.431933195126,4245.458506795678,3400,10,0.0441176470588235,0.01867113828343876,0.01512321919638264,0.00950289414904877,0.01024442153924751,0.01314888058268009,0.02715281118389448
2014-09-15,B1409,4582.863532054158,4582.863532054158,4582.863532054158,4582.863532054158,0,382,4715.70015617167,4549.65437602478,4715.70015617167,0,4998.64216554197,4432.75814680137,3450,10,-0.02816901408450703,0.02153600811621843,0.01691355246514445,0.009640605074459725,0.01100531962648076,0.01442709425796772,0.03618553150371254
2014-09-16,B1505,4571.702829388578,4571.702829388578,4571.702829388578,4571.702829388578,0,2,4582.863532054158,4571.702829388578,4575.88809288817,356,4758.644599037058,4393.131586739283,3277,10,-0.002435312024352961,0.02228003379738246,0.01723190458809457,0.009717091360288775,0.01125415023821914,0.01478063877205319,0.0371232347267693
2014-09-17,B1505,4561.937214556194,4588.443883386949,4588.443883386949,4561.937214556194,0,16,4571.702829388578,4581.468444220961,4571.702829388578,356,4754.459335537465,4388.94632323969,3270,10,0.00366188587122364,0.0222788418133079,0.01723006683512968,0.00971818511103522,0.01125414672250665,0.01477788109599959,0.02602531898237124
2014-09-18,B1505,4581.468444220961,4581.468444220961,4581.468444220961,4581.468444220961,0,0,4588.443883386949,4581.468444220961,4581.468444220961,356,4764.224950369848,4398.711938072073,3289,10,-0.001520218911523259,0.02127611441456602,0.01725581878636412,0.009692719000870499,0.01126072608803315,0.01480209645209584,0.02598173754495545
2014-09-19,B1505,4535.43054572544,4535.43054572544,4535.43054572544,4535.43054572544,0,4,4581.468444220961,4535.43054572544,4581.468444220961,360,4764.224950369848,4398.711938072073,3251,10,-0.01004872107186342,0.02127187469188,0.01689908864882906,0.009585008879757011,0.01122580806710522,0.01480103695390334,0.02604081232190401
2014-09-22,B1505,4464.281066232361,4354.06912740975,4497.763174229104,4354.06912740975,0,146,4535.43054572544,4362.439654408936,4535.43054572544,260,4716.791964041129,4354.06912740975,3200,10,-0.03998769609350988,0.02134256031432989,0.0169389594610673,0.009337195227089319,0.01125535240295741,0.01482748618713499,0.01244483915822546
2014-09-23,B1505,4373.600357074516,4373.600357074516,4373.600357074516,4373.600357074516,0,2,4354.06912740975,4373.600357074516,4362.439654408936,260,4536.825633558637,4188.053675259233,3135,10,0.004485741749439199,0.0229207664363266,0.0179363245271425,0.009553792481396178,0.01177472133276117,0.01553236108355734,0.01742857437916353
2014-09-24,B1505,4354.06912740975,4380.575796240504,4380.575796240504,4354.06912740975,0,8,4373.600357074516,4365.229830075331,4373.600357074516,260,4547.986336224218,4199.214377924814,3121,10,0.001594896331738437,0.02298807364865236,0.01778116014694507,0.009525195309911406,0.01178075620034198,0.01556481277365894,0.01843208197499558
2014-09-25,B1505,4365.229830075331,4365.229830075331,4365.229830075331,4365.229830075331,0,0,4380.575796240504,4365.229830075331,4365.229830075331,260,4539.615809225033,4190.843850925629,3140,10,-0.003503184713375672,0.02291129297054901,0.01778337740737886,0.009524427115395789,0.01178292601899747,0.01557752090395705,0.01810632482170458
